Stock,Date,Actual,Predicted
AAPL,1416,174.68795776367188,175.9999052429199
AAPL,1736,227.4911193847656,226.94267700195311
AAPL,586,69.58810424804688,69.99458442687988
AAPL,639,94.79586791992188,94.16277145385742
AAPL,1925,230.26678466796875,229.78185821533202
AAPL,1283,152.20384216308594,152.8018521118164
AAPL,1737,228.83502197265625,229.7243083190918
AAPL,416,49.67264938354492,49.57511569976807
AAPL,187,52.21337890625,52.84146873474121
AAPL,708,113.5714340209961,114.34954162597656
AAPL,1206,140.63162231445312,138.26491149902344
AAPL,1338,161.58236694335938,162.78022109985352
AAPL,302,43.861358642578125,43.887999572753905
AAPL,1544,180.0908966064453,179.3169664001465
AAPL,714,112.065185546875,109.72526550292969
AAPL,1463,171.156005859375,169.93716018676758
AAPL,1610,185.61929321289065,187.0069793701172
AAPL,1998,278.7799987792969,277.7409024047852
AAPL,1944,252.06564331054688,254.58164581298828
AAPL,1973,269.7784729003906,269.59764892578124
AAPL,986,156.9476318359375,157.08749420166015
AAPL,177,52.36734008789063,52.792987785339356
AAPL,1179,151.98126220703125,152.95787673950196
AAPL,695,109.83008575439452,109.51810813903809
AAPL,1620,195.56175231933597,193.50519775390626
AAPL,125,43.78791427612305,43.74412754058838
AAPL,369,47.41888046264648,47.65643337249756
AAPL,1448,171.8979949951172,171.7457746887207
AAPL,1568,169.4675750732422,168.6075311279297
AAPL,41,41.88433074951172,42.071030120849606
AAPL,1509,191.76893615722656,191.9129034423828
AAPL,581,66.77536010742188,66.28802536010743
AAPL,333,48.84600067138672,49.114803314208984
AAPL,917,144.9337158203125,144.93760314941406
AAPL,196,53.74125671386719,53.176632690429685
AAPL,529,78.46649169921875,78.07167327880859
AAPL,1690,219.45492553710935,219.99716583251953
AAPL,1806,238.2552947998047,237.58221054077148
AAPL,324,47.56163787841797,47.272163276672366
AAPL,1204,136.68771362304688,137.26522506713866
AAPL,268,36.297977447509766,36.54611457824707
AAPL,1035,171.45602416992188,170.0068814086914
AAPL,1986,271.489990234375,268.4985757446289
AAPL,69,40.73917007446289,40.41629337310791
AAPL,1451,173.045654296875,171.7189797973633
AAPL,1241,145.61322021484375,145.28261672973633
AAPL,681,112.10405731201172,111.63914192199707
AAPL,487,64.07898712158203,64.09764247894287
AAPL,482,64.62428283691406,64.40882266998291
AAPL,1420,175.34091186523438,175.72880905151368
AAPL,707,114.19336700439452,113.73189422607422
AAPL,585,67.37512969970703,68.54368576049805
AAPL,981,157.25123596191406,155.81931335449218
AAPL,429,52.62187576293945,52.68551204681396
AAPL,1644,232.81871032714844,234.034793548584
AAPL,1580,173.6236572265625,170.70531478881836
AAPL,481,63.76772689819336,64.23055625915528
AAPL,452,56.37937545776367,56.75183925628662
AAPL,1918,230.66639709472656,232.25033309936524
AAPL,1394,191.6634521484375,191.25331451416017
AAPL,1540,183.54275512695312,183.46854583740233
AAPL,1589,167.6523895263672,166.57786346435546
AAPL,1669,224.62582397460935,223.68897567749025
AAPL,943,138.7917022705078,139.85932510375977
AAPL,735,115.88949584960938,115.790947265625
AAPL,1276,139.75167846679688,137.90543075561524
AAPL,694,113.49369049072266,113.82315368652344
AAPL,1260,127.9989776611328,127.23171287536621
GOOGL,1198,97.90029907226562,96.34077659606933
GOOGL,528,71.76029205322266,71.93670211791992
GOOGL,395,61.79410171508789,62.50280570983887
GOOGL,1406,127.4172821044922,127.82919631958008
GOOGL,435,61.27154922485352,61.20628356933594
GOOGL,578,63.47043991088867,63.23307304382324
GOOGL,1213,101.75119018554688,100.39835716247559
GOOGL,431,61.03285598754883,61.07624523162842
GOOGL,613,71.85904693603516,71.41137886047363
GOOGL,532,74.93680572509766,75.46761856079101
GOOGL,814,100.86093139648438,100.3917099761963
GOOGL,1452,136.54827880859375,134.51910125732422
GOOGL,653,73.11258697509766,73.39140319824219
GOOGL,563,57.709957122802734,56.40838005065918
GOOGL,1475,130.85133361816406,129.96247497558593
GOOGL,712,79.34449768066406,79.40376274108887
GOOGL,1507,140.45875549316406,141.15134765625
GOOGL,126,56.036109924316406,56.4259619140625
GOOGL,1772,192.1574249267578,194.83032455444337
GOOGL,464,63.13546752929688,62.77919319152832
GOOGL,1895,182.68701171875,182.1038816833496
GOOGL,1119,113.9743423461914,116.08345710754395
GOOGL,1000,140.66220092773438,142.02150604248047
GOOGL,794,100.04161834716795,100.81317085266113
GOOGL,1778,191.0617218017578,193.69704528808595
GOOGL,1878,166.38226318359375,167.3847004699707
GOOGL,1658,165.60003662109375,166.06707244873047
GOOGL,540,70.46062469482422,70.44235939025879
GOOGL,545,68.79619598388672,67.92443923950195
GOOGL,1126,110.70752716064452,110.40288284301758
GOOGL,1787,184.6169586181641,187.4100946044922
GOOGL,1969,274.3905334472656,270.83444122314455
GOOGL,31,52.31174850463867,52.22691089630127
